Índice	Link	Data	Título	Primeiro Parágrafo	Temática	Região	Estado	Município
1	https://operacaocovid19.defesa.gov.br/noticias/noticia/740	21/03/2020	Militares da Marinha atuam na retirada de passageiros de navio de cruzeiro em Recife	Como parte da Operação Covid-19 do Ministério da Defesa, a Marinha atuou, neste sábado (21), na retirada de passageiros de um navio de cruzeiro retido em Recife (PE), desde que um passageiro foi atestado com Covid-19. Militares especializados em Defesa Biológica, Nuclear, Química e Radiológica (DBNQR) foram empregados na missão.	Apoio Logístico	Nordeste	PE	Recife
577	https://operacaocovid19.defesa.gov.br/noticias/noticia/1316	01/06/2020	Agência de Areia Branca fiscaliza embarcações e realiza conscientização sobre coronavírus no interior do RN	A Agência da Capitania dos Portos em Areia Branca intensificou, no dia 21 de maio, as ações de inspeção naval no Rio Apodi-Açu, no interior do Rio Grande do Norte.	Inspeções Sanitárias		Nordeste	RN	Areia Branca
578	https://operacaocovid19.defesa.gov.br/noticias/noticia/1317	03/06/2020	Grupamento de Fuzileiros Navais de Natal conclui doação de 6,7 toneladas de alimentos para famílias do Profesp	O Comando Conjunto Rio Grande do Norte e Paraíba realizou, no período de 19 a 28 de maio, a doação de kits de alimentação para famílias beneficiadas pelo Programa Forças no Esporte (Profesp), do núcleo do Grupamento de Fuzileiros Navais de Natal (GptFNNa).	Alimentação		Nordeste	RN	Natal
579	https://operacaocovid19.defesa.gov.br/noticias/noticia/1318	03/06/2020	Desinfecção de locais públicos no município de Itaquaquecetuba (SP)	No dia 27 de maio, o 5º Batalhão de Infantaria Leve (5º BIL) foi empregado pelo Comando Conjunto do Sudeste apoiando a Defesa Civil do município de Itaquaquecetuba (SP), para a desinfecção de locais públicos tais como pontos de ônibus, estação de trens e a rodoviária da cidade , reforçando as ações de prevenção e combate à Covid-19.	Higienização		Sudeste	SP	Itaquaquecetuba
581	https://operacaocovid19.defesa.gov.br/noticias/noticia/1320	03/06/2020	Militares levam kits de alimentação às comunidades indígenas e ribeirinhas	Com apoio da aeronave C-98 Caravan, da Força Aérea Brasileira, militares da 1ª Brigada de Infantaria de Selva, 7º Bis e 6º BEC, doaram 115 kits de alimentação para a Terra Indígena Raposa Serra do Sol. Ao todo foram seis comunidades indígenas atendidas. A localidade é uma das maiores terras indígenas brasileiras. No Comando Conjunto Oeste, as Forças Armadas transportaram mais de 1.100 kits de alimentos até a FUNAI, em Rondonópolis e Barra do Garça, ambas no Mato Grosso.	Indígena		Centro-Oeste	MS	Rondonópolis
582	https://operacaocovid19.defesa.gov.br/noticias/noticia/1321	03/06/2020	Comando Conjunto RN-PB realiza desinfecção da Secretaria de Meio Ambiente e Urbanismo de Natal	O Comando Conjunto Rio Grande do Norte e Paraíba realizou, no dia 28 de maio, a desinfecção da Secretaria Municipal de Meio Ambiente e Urbanismo de Natal.	Higienização		Nordeste	RN	Natal
583	https://operacaocovid19.defesa.gov.br/noticias/noticia/1322	03/06/2020	Comando Conjunto RN-PB realiza desinfecção da Procuradoria da República na Paraíba	O Comando Conjunto Rio Grande do Norte e Paraíba realizou, no dia 29 de maio, a desinfecção da Procuradoria da República na Paraíba.	Higienização		Nordeste	PB	Paraíba
584	https://operacaocovid19.defesa.gov.br/noticias/noticia/1323	03/06/2020	Desinfecção no Instituto Estadual do Cérebro, no Rio de Janeiro	No dia 1º de junho, o 1º Batalhão de Defesa Química, Biológica, Radiológica e Nuclear (1º Btl DQBRN) foi empregado pelo Comando Conjunto Leste na desinfecção de instalações em Unidade Hospitalar que integra a Secretaria de Saúde do Estado do Rio de Janeiro, reforçando as ações de prevenção e combate ao novo Coronavírus.	Higienização		Sudeste	RJ	Rio de Janeiro
585	https://operacaocovid19.defesa.gov.br/noticias/noticia/1324	03/06/2020	Navio-Patrulha Fluvial “Amapá” opera no Rio Japurá (AM) no âmbito da Operação “Covid-19”	O Navio-Patrulha Fluvial “Amapá”, subordinado ao Comando da Flotilha do Amazonas, suspendeu no dia 20 de maio, para realizar Inspeção Naval no Rio Japurá-AM.	Inspeções Sanitárias		Norte	AP	Macapá 
586	https://operacaocovid19.defesa.gov.br/noticias/noticia/1325	03/06/2020	Aviso Hidroceanográfico Fluvial “Rio Tocantins” realiza inspeções navais em Almeirim-PA	Como parte das atividades da Operação “Verde Brasil II”, o Aviso Hidroceanográfico Fluvial (AvHoFlu) “Rio Tocantins”, subordinado ao Centro de Hidrografia e Navegação do Norte, realizou, no período de 22 a 29 de maio, inspeções navais na área do município de Almeirim-PA, conhecida como Baixo Amazonas. Desde o início da operação, em 12 de maio, o AvHoFlu “Rio Tocantins” já inspecionou 64 embarcações e notificou 15 por apresentarem irregularidades na documentação e/ou por estarem com tripulação incompletas.	Inspeções Sanitárias		Norte	PA	Almeirim
587	https://operacaocovid19.defesa.gov.br/noticias/noticia/1326	03/06/2020	Centros de pesquisa do Exército investem em soluções para combater pandemia	A comunidade científica respondeu de forma rápida à crise gerada pela Covid-19. Na segunda parte da série sobre tecnologias de combate ao novo coronavírus, o leitor acompanha o empenho do Exército Brasileiro na atual conjuntura. A Força Terrestre conta com o Departamento de Ciência e Tecnologia (DCT). O órgão é responsável pelo planejamento, organização, direção e controle das atividades científicas, tecnológicas e desenvolve uma série de atividades de assessoramento científico e tecnológico para atender às necessidades da Força, de órgãos governamentais e da sociedade em geral	Indústria de Defesa		Centro-Oeste	DF	Brasília
588	https://operacaocovid19.defesa.gov.br/noticias/noticia/1327	03/06/2020	No Piauí, Marinha se une a órgãos públicos no combate à Covid-19	Nos dias 30 e 31 de maio, a Capitania dos Portos do Piauí, o Instituto Chico Mendes de Conservação da Biodiversidade (ICMBio), a Polícia Militar, a Agência Nacional de Vigilância Sanitária e funcionários da Prefeitura de Ilha Grande-PI trabalharam na divulgação e conscientização de moradores e ribeirinhos da área do Delta do Parnaíba sobre o novo coronavírus, em Ilha Grande.	Inspeções Sanitárias		Nordeste	PI	Ilha Grande
589	https://operacaocovid19.defesa.gov.br/noticias/noticia/1328	03/06/2020	Companhia Independente de Polícia Turística e Aeroporto Internacional de Belém passam por descontaminação	No dia 30 de maio, a Equipe de Resposta Nuclear, Biológica, Química e Radiológica do 2° Batalhão de Operações Ribeirinhas (2ºBtlOpRib) realizou a descontaminação preventiva da Agência Nacional de Vigilância Sanitária e da Alfândega da Receita Federal, ambas localizados no Aeroporto Internacional de Belém-PA. Já no dia 31, a ação ocorreu nas instalações da Companhia Independente de Polícia Turística (CIPTur) da Polícia Militar do Estado do Pará, também na capital paraense.	Higienização		Norte	PA	Belém
590	https://operacaocovid19.defesa.gov.br/noticias/noticia/1329	03/06/2020	Hospital de Guarnição de Tabatinga promove ação de saúde em comunidade indígena do Alto Solimões, no Amazonas	O Hospital de Guarnição de Tabatinga (HGuT) levou a Mão Amiga do Exército Brasileiro aos indígenas da Comunidade Umariaçu I e II. Na tarde de 1º de junho, militares da equipe de saúde do HGuT, com o apoio logístico do Comando de Fronteira Solimões / 8º Batalhão de Infantaria de Selva (CF Sol / 8º BIS), realizaram uma Ação Cívico-Social com indígenas da etnia Tikuna. Foram realizadas ações de promoção da saúde, incluindo distribuição de kits de higiene oral, contendo escova, pasta e fio dental.	Indígena	Tikuna	Norte	AM	Tabatinga
591	https://operacaocovid19.defesa.gov.br/noticias/noticia/1330	03/06/2020	Comando Conjunto RN-PB realiza desinfecção de prédios da Assembleia Legislativa do Rio Grande do Norte	O Comando Conjunto Rio Grande do Norte e Paraíba realizou, de 29 de maio a 1º de junho, a desinfecção de prédios da Assembleia Legislativa do Rio Grande do Norte (ALRN).	Higienização		Nordeste	RN	Natal
592	https://operacaocovid19.defesa.gov.br/noticias/noticia/1331	03/06/2020	Equipamento desenvolvido pela Aeronáutica identifica novo coronavírus no ar	Na busca pelos melhores recursos científicos para serem usados na guerra contra a Covid-19, a corrida contra o tempo é fator decisivo e de extrema importância. Na terceira e última parte da série sobre o uso de tecnologias no combate ao novo coronavírus, o leitor acompanha as iniciativas da Aeronáutica.	Indústria de Defesa		Sudeste	SP	São José dos Campos
593	https://operacaocovid19.defesa.gov.br/noticias/noticia/1332	03/06/2020	Comando do 9º Distrito Naval realiza ação de descontaminação na Fundação Hospitalar de Hematologia e Hemoterapia do Amazonas	A Equipe de Resposta Defesa Nuclear, Biológica, Química e Radiológica (DefNBQR) conduzida pelo 1º Batalhão de Operações Ribeirinhas, subordinado ao Comando do 9º Distrito Naval, realizou, no dia 29 de maio, a descontaminação das instalações internas da Fundação Hospitalar de Hematologia e Hemoterapia do Amazonas (HEMOAM), localizada na zona centro-oeste de Manaus-AM.	Higienização		Norte	AM	Manaus
594	https://operacaocovid19.defesa.gov.br/noticias/noticia/1333	03/06/2020	Em parceria com a Associação de Juízes do Rio Grande do Sul, Batalhão entrega kits a moradores em situação de rua em Pelotas (RS)	No dia 31 de maio, foi realizado, por militares do 9º Batalhão de Infantaria Motorizado, Regimento Tuiuti, em parceria com a Associação de Juízes do Rio Grande do Sul (AJURIS), Seção Pelotas, a entrega de 100 kits a moradores em situação de rua, contendo: uma quentinha, uma garrafa de água, um sabonete, uma colher/garfo plástico e uma máscara. Os kits foram doados e confeccionados pela AJURIS.	Alimentação		Sul	RS	Pelotas
595	https://operacaocovid19.defesa.gov.br/noticias/noticia/1334	03/06/2020	Comando Conjunto RN-PB realiza desinfecção do Tribunal Regional do Trabalho no Rio Grande do Norte		Higienização		Nordeste	RN	Natal
596	https://operacaocovid19.defesa.gov.br/noticias/noticia/1335	04/06/2020	FAB transporta mais de 4 toneladas de insumos hospitalares para Boa Vista (RR)	Às 08h45 desta quinta-feira (04), a aeronave FAB 2854 KC-390 Millennium, operada pelo Primeiro Grupo de Transporte de Tropa (1º GTT) – Esquadrão Zeus, decolou de Brasília (DF) com mais de 4.300 quilos de insumos hospitalares. A aeronave seguiu para Boa Vista (RR). A missão de Transporte Aéreo Logístico ocorre em apoio à Operação COVID-19.	Apoio de Saúde		Norte	RR	Boa Vista
597	https://operacaocovid19.defesa.gov.br/noticias/noticia/1336	04/06/2020	Desinfecção de Superintendência da Polícia Federal no Rio de Janeiro	No dia 2 de junho, o 1º Batalhão de Defesa Química, Biológica, Radiológica e Nuclear (1º Btl DQBRN) foi empregado pelo Comando Conjunto Leste na desinfecção de órgão do Ministério da Justiça e Segurança Pública, reforçando as ações de prevenção e combate ao novo Coronavírus.	Higienização		Sudeste	RJ	Rio de Janeiro 
598	https://operacaocovid19.defesa.gov.br/noticias/noticia/1337	04/06/2020	Marinha do Brasil realiza desinfecção preventiva no prédio da Procuradoria da Justiça Militar em Salvador-BA	Como parte das ações de prevenção à contaminação do novo coronavírus, militares da Equipe de Resposta de Defesa Nuclear, Biológica, Química e Radiológica do Grupamento de Fuzileiros Navais de Salvador (GptFNSa), subordinado ao Comando do 2º Distrito Naval (Com2ºDN), realizaram, no dia 1º de junho, a desinfecção preventiva nas instalações do prédio da Procuradoria da Justiça Militar em Salvador-BA.	Higienização		Nordeste	BA	Salvador 
599	https://operacaocovid19.defesa.gov.br/noticias/noticia/1338	04/06/2020	Descontaminação na Câmara Municipal de Vereadores de Dourados	No atual contexto e seguindo as diretrizes do Comando Conjunto Oeste de controle da pandemia da COVID-19, no dia 3 de junho, a 4ª Brigada de Cavalaria Mecanizada (4ª Bda C Mec), Força Terrestre Componente Guaicurus, por intermédio do seu Esquadrão de Comando, realizou a descontaminação das áreas internas e externas da Câmara Municipal de Vereadores do município. A medida tem por finalidade realizar a prevenção e combate ao novo coronavírus (COVID-19).	Higienização		Centro-Oeste	MS	Dourados
600	https://operacaocovid19.defesa.gov.br/noticias/noticia/1339	04/06/2020	Comando do 8º Distrito Naval coordena ação de desinfecção nos municípios de El Dorado-SP e Registro-SP	O Comando do 8º Distrito Naval coordenou, nos dias 29 de maio e 1º de junho, em conjunto com o Exército Brasileiro (EB), a desinfecção preventiva em instalações públicas nos municípios de El Dorado-SP e Registro-SP. Foram contempladas a Unidade Básica de Saúde Central e o Pronto Atendimento (Santa Casa) em El Dorado; e o Hospital São João, a Praça Pública e o Terminal Rodoviário em Registro.	Higienização		Sudeste	SP	El Dorado
601	https://operacaocovid19.defesa.gov.br/noticias/noticia/1340	04/06/2020	Forças Armadas levam por água, terra e ar, apoio a todos os cantos do país	Militares da Força Aérea Brasileira transportaram, na manhã dessa quinta-feira (04), mais de 4 toneladas de álcool em gel e equipamentos de proteção individual para Boa Vista, em Roraima. Os itens, que foram carregados em um KC-390 Millennium, serão utilizados no combate ao novo coronavírus.	Apoio Logístico		Norte	RR	Boa vista
602	https://operacaocovid19.defesa.gov.br/noticias/noticia/1341	05/06/2020	Base de Fuzileiros Navais da Ilha do Governador desenvolve dispositivo que libera álcool gel ao ser acionado com os pés	Em complemento às medidas preventivas já implementadas pela Base de Fuzileiros Navais da Ilha do Governador (BFNIG) no enfrentamento à pandemia da Covid-19, militares da tripulação desenvolveram um totem para facilitar a higienização das mãos, ao mesmo tempo que garante a segurança durante o uso do álcool em gel. A proposta evita que o militar se contamine tocando na embalagem do produto e possibilita o uso em operações onde nem sempre há facilidade de instalação de pontos d’água	Apoio de Saúde		Sudeste	RJ	Rio de Janeiro
603	https://operacaocovid19.defesa.gov.br/noticias/noticia/1342	05/06/2020	Batalhão executa higienização em instalações da Polícia Militar em Itaituba/PA	No dia 2 de junho, o 53° Batalhão de Infantaria de Selva (53° BIS) realizou, no contexto da Operação COVID-19, mais uma ação de higienização nas instalações e viaturas do Grupamento Tático Operacional (GTO) da Polícia Militar local. Foram higienizadas as áreas interna e externa com a finalidade de eliminar possível foco de contaminação do novo coronavírus.	Higienização		Norte	PA	Itaituba
604	https://operacaocovid19.defesa.gov.br/noticias/noticia/1343	05/06/2020	Campanhas de doação também fazem parte das ações da Operação Covid-19	Dentre as ações de combate ao novo coronavírus, militares têm realizado campanhas de doação por todo o país. Devido à proximidade do inverno e ao início de frentes frias nas localidades, a Região Sul está arrecadando agasalhos nas organizações militares. Em Uruguaiana (RS), militares entregaram 620 peças de roupa de frio e 15 pares de calçados para o Centro Comunitário João Arregui.	Apoio Logístico		Sul	RS	Uruguaiana
